"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","fc_direction","Significance","chromosome_name","start_position","end_position"
"ENSG00000165949",22964.6038458291,6.63666370888156,0.558859594614613,11.8753686486463,1.58931881055347e-32,5.67831824634544e-28,"IFI27",3429,"UP","FDR<4e-14, Upregulated","12",911736,990053
"ENSG00000137959",37813.6965774056,5.04746887455532,0.428356960712268,11.7833240439526,4.75790123014757e-32,8.49951475753562e-28,"IFI44L",10964,"UP","FDR<4e-14, Upregulated","4",17577192,17607972
"ENSG00000137965",33463.8878686541,4.12780441466092,0.378673724308216,10.9006887715852,1.14388083078115e-27,1.02171435805373e-23,"IFI44",10561,"UP","FDR<4e-14, Upregulated","7",8113184,8262687
"ENSG00000134321",41145.0941915116,4.60218464964338,0.428378169952342,10.7432753871547,6.37420303344159e-27,4.55475051957602e-23,"RSAD2",91543,"UP","FDR<4e-14, Upregulated","2",201700267,201780956
"ENSG00000088827",11969.688235668,4.22174193955466,0.395574356235396,10.6724358467828,1.36987372335126e-26,8.1571413979823e-23,"SIGLEC1",6614,"UP","FDR<4e-14, Upregulated","16",2852730,2858170
"ENSG00000184979",5267.14959580262,3.85267524629943,0.372320786381392,10.3477307397844,4.28522225782094e-25,2.18717744039181e-21,"USP18",11274,"UP","FDR<4e-14, Upregulated","17",32927910,32945106
"ENSG00000214872",3339.00174650147,3.51972943730914,0.340633068874129,10.3329058712434,5.00218257192078e-25,2.23397473661982e-21,"SMTNL1",219537,"UP","FDR<4e-14, Upregulated","7",6161776,6272644
"ENSG00000161133",2311.62393153331,3.49271381402423,0.344608281186377,10.1353159651298,3.85126462480177e-24,1.37597982514918e-20,"USP41",373856,"UP","FDR<4e-14, Upregulated","6",36354091,36387800
"ENSG00000115155",5689.50460260601,4.09653530054863,0.426800089109238,9.59825315195783,8.13107422503932e-22,2.23466938394004e-18,"OTOF",9381,"UP","FDR<4e-14, Upregulated","19",797075,812327
"ENSG00000138646",16598.6969373359,3.1737399894411,0.33570481067425,9.45396040964312,3.26247648754395e-21,8.32583999621216e-18,"HERC5",51191,"UP","FDR<4e-14, Upregulated","17",43044295,43170245
"ENSG00000187608",36886.0717217812,3.91176844994581,0.416009332633166,9.40307859245836,5.29894779329767e-21,1.1501316379339e-17,"ISG15",9636,"UP","FDR<4e-14, Upregulated","7",151341699,151378449
"ENSG00000134326",10211.9131294708,3.49477119900827,0.371796521827563,9.39968771582303,5.47252514690895e-21,1.1501316379339e-17,"CMPK2",129607,"UP","FDR<4e-14, Upregulated","5",150400041,150412929
"ENSG00000173821",16635.7177385525,1.86634921807879,0.198391847856046,9.40738865153887,5.08615792096828e-21,1.1501316379339e-17,"RNF213",57674,"UP","FDR<4e-14, Upregulated","X",136146702,136211359
"ENSG00000132530",11305.4295485134,2.71713452878218,0.293829553498953,9.24731531061551,2.30201887335627e-20,4.56925168373738e-17,"XAF1",54739,"UP","FDR<4e-14, Upregulated","22",50525752,50530032
"ENSG00000133106",18974.7251047218,2.87552982725972,0.314635129337966,9.13925229299797,6.28856042028843e-20,1.18251414050561e-16,"EPSTI1",94240,"UP","FDR<4e-14, Upregulated","6",26402237,26415208
"ENSG00000126709",31461.8459945686,3.02892574962372,0.335421590518359,9.03020507696846,1.7135037676041e-19,3.06100313044797e-16,"IFI6",2537,"UP","FDR<4e-14, Upregulated","5",172958729,172969771
"ENSG00000135114",17054.4942296735,2.75916677734794,0.306316503095861,9.00756815079097,2.10676132010936e-19,3.58430325927939e-16,"OASL",8638,"UP","FDR<4e-14, Upregulated","19",12751702,12758458
"ENSG00000089127",3747.41756847485,2.94407139731008,0.328803971083208,8.95388029411921,3.43200971541362e-19,5.57358377783172e-16,"OAS1",4938,"UP","FDR<4e-14, Upregulated","3",183178043,183428778
"ENSG00000157601",48701.5280711069,2.9822365019861,0.335176193802767,8.89751884867153,5.7108991136309e-19,8.87126102312194e-16,"MX1",4599,"UP","FDR<4e-14, Upregulated","1",241590102,241677376
"ENSG00000137628",9976.01881569258,2.48823128281579,0.283210823589644,8.78579162786906,1.55267181018681e-18,2.3114107680981e-15,"DDX60",55601,"UP","FDR<4e-14, Upregulated","2",37099210,37157065
"ENSG00000145743",1955.7814655065,-0.50812288755589,0.0579567962274521,-8.76727011551425,1.83050269169966e-18,2.61600800676182e-15,"FBXL17",64839,"DOWN","FDR<4e-14, Downregulated","7",140023744,140063721
"ENSG00000055332",14654.0744984995,2.10587672408868,0.241747321579136,8.71106538154268,3.01031961063655e-18,4.13664227110856e-15,"EIF2AK2",5610,"UP","FDR<4e-14, Upregulated","12",56271699,56300391
"ENSG00000160932",67172.643001567,3.12515005677404,0.359009843885283,8.70491467017444,3.17813774693651e-18,4.2055002008351e-15,"LY6E",4061,"UP","FDR<4e-14, Upregulated","4",2462220,2625320
"ENSG00000196358",25043.0106247381,1.88156674416265,0.221512452100011,8.49418046852347,1.99334379052122e-17,2.45579954992214e-14,"NTNG2",84628,"UP","FDR<4e-14, Upregulated","19",2997639,3047635
"ENSG00000136514",2650.76796326803,2.46240838323498,0.291850587413497,8.43722263867233,3.24967096977679e-17,3.87014148027284e-14,"RTP4",64108,"UP","FDR<4e-14, Upregulated","19",7958573,8005659
"ENSG00000124256",14820.859710704,1.91320618944884,0.227387180114811,8.41387007166732,3.96700116109674e-17,4.42915679636451e-14,"ZBP1",81030,"UP","Less Significant, Upregulated","10",121478334,121598458
"ENSG00000138642",5956.20057372519,1.96326541911533,0.237549778683321,8.26464848756,1.4010696912097e-16,1.5168914523497e-13,"HERC6",55008,"UP","Less Significant, Upregulated","2",230415942,230545606
"ENSG00000132388",4037.65092123743,-0.489437970009011,0.0593224593315047,-8.25046661120271,1.57777255866119e-16,1.65796052870138e-13,"UBE2G1",7326,"DOWN","Less Significant, Downregulated","X",153785766,153794523
"ENSG00000102313",159.967059123413,1.33609988018933,0.162040983962456,8.24544413096691,1.64547894889576e-16,1.67970491103279e-13,"ITIH6",347365,"UP","Less Significant, Upregulated","17",43006725,43014456
"ENSG00000152778",6847.37260946021,1.99875930617127,0.247904529396109,8.06261713345945,7.46781321624039e-16,7.41138973860657e-13,"IFIT5",24138,"UP","Less Significant, Upregulated","X",48973720,49002264
"ENSG00000177294",127.604721453211,2.28707363677151,0.283936362694146,8.05488108345999,7.95561161540585e-16,7.68211058906001e-13,"FBXO39",162517,"UP","Less Significant, Upregulated","8",100685816,100722809
"ENSG00000156304",2440.70929271638,-0.477098587768145,0.0593333191459876,-8.04098935699619,8.91159986893452e-16,8.37878000308665e-13,"SCAF4",57466,"DOWN","Less Significant, Downregulated","6",166409364,166906451
"ENSG00000141664",12624.5266685998,1.80204625415309,0.230028964454219,7.83399715956962,4.7259946141179e-15,3.40442807831865e-12,"ZCCHC2",54877,"UP","Less Significant, Upregulated","5",163460203,163491941
"ENSG00000130699",1866.87069270706,-0.375087063427299,0.0478856097810993,-7.83298082956328,4.76436979164612e-15,3.40442807831865e-12,"TAF4",6874,"DOWN","Less Significant, Downregulated","5",171861549,172006873
"ENSG00000196141",855.524701360593,2.11209993426866,0.269968161819379,7.8235148916625,5.13684768134584e-15,3.59861360704165e-12,"SPATS2L",26010,"UP","Less Significant, Upregulated","4",5711201,5814305
"ENSG00000166710",455170.246892881,0.891121391563591,0.114251529726777,7.79964516619282,6.20814877425479e-15,4.26547575781875e-12,"B2M",567,"UP","Less Significant, Upregulated","15",66336191,66386746
"ENSG00000130589",21001.8361592557,1.71553106336204,0.220272954746332,7.78820561669796,6.79675116046756e-15,4.58177972568274e-12,"HELZ2",85441,"UP","Less Significant, Upregulated","22",46296870,46330810
"ENSG00000177409",21303.4876605661,1.76217401047153,0.226846877844178,7.76812106570835,7.96589069763947e-15,5.27046931194932e-12,"SAMD9L",219285,"UP","Less Significant, Upregulated","16",89707134,89720898
"ENSG00000204397",5677.25883775922,1.03132075558634,0.133024814395823,7.75284491296181,8.9856334706652e-15,5.83706750254411e-12,"CARD16",114769,"UP","Less Significant, Upregulated","17",66964707,67033398
"ENSG00000100380",4613.14604326282,-0.631817779219345,0.0816762609708576,-7.73563544301789,1.02887897566416e-14,6.49008545091353e-12,"ST13",6767,"DOWN","Less Significant, Downregulated","3",25174332,25597932
"ENSG00000067066",11969.3388878035,0.982771422262397,0.127976524043012,7.67931016732489,1.5994754223384e-14,9.07080283957245e-12,"SP100",6672,"UP","Less Significant, Upregulated","3",183122215,183163839
"ENSG00000086065",3817.10805331135,1.43562342850003,0.188861223474733,7.60147266912149,2.92779611578988e-14,1.58491363068092e-11,"CHMP5",51510,"UP","Less Significant, Upregulated","10",75094432,75109221
"ENSG00000108771",6038.06236184853,1.74113879199593,0.229565282585726,7.58450394756768,3.33761509849017e-14,1.77979570505756e-11,"DHX58",79132,"UP","Less Significant, Upregulated","18",2571557,2616635
"ENSG00000172426",459.870357122628,1.51494757984616,0.199803701395005,7.58217975577521,3.39797036504119e-14,1.78533360591458e-11,"RSPH9",221421,"UP","Less Significant, Upregulated","12",14784582,14803486
"ENSG00000169105",533.061872589602,-0.653619528327942,0.0870916392107258,-7.50496298211189,6.14459626025523e-14,3.18165413313621e-11,"CHST14",113189,"DOWN","Less Significant, Downregulated","9",33264879,33282070
"ENSG00000078081",843.254594151611,1.99208613531404,0.265893801562892,7.49203675905492,6.78129225551367e-14,3.37329851543836e-11,"LAMP3",27074,"UP","Less Significant, Upregulated","16",56961923,56983845
"ENSG00000134809",1695.50461898402,1.96006782124343,0.261631403917047,7.49171464854004,6.79795939071771e-14,3.37329851543836e-11,"TIMM10",26519,"UP","Less Significant, Upregulated","12",29337352,29381189
"ENSG00000167910",59.347954277618,1.74629515134568,0.236261725118787,7.39135867423165,1.45335985110621e-13,6.923418768043e-11,"CYP7A1",1581,"UP","Less Significant, Upregulated","20",3686970,3707128
"ENSG00000138496",25732.8661535129,1.40864667895722,0.190778769789857,7.38366580573322,1.53989685762437e-13,7.23913617489521e-11,"PARP9",83666,"UP","Less Significant, Upregulated","12",112906783,112933222
"ENSG00000184992",1091.27185301092,-0.559688077050143,0.0759855292894198,-7.36571926634028,1.76194261697489e-13,8.1754137427635e-11,"BRI3BP",140707,"DOWN","Less Significant, Downregulated","16",4510669,4538828
"ENSG00000168026",1067.19802747222,1.28540886650807,0.174579146446426,7.36290039602485,1.79956650029207e-13,8.24293742595324e-11,"TTC21A",199223,"UP","Less Significant, Upregulated","1",39560816,39576790
"ENSG00000183486",52125.2495921467,1.40238340402322,0.190632641464902,7.35647050393213,1.88836584173597e-13,8.54019427766365e-11,"MX2",4600,"UP","Less Significant, Upregulated","X",68829021,68842160
"ENSG00000158402",142.454646307394,0.529359748069425,0.0720920003499794,7.34283617460445,2.09114433058332e-13,9.33905058038511e-11,"CDC25C",995,"UP","Less Significant, Upregulated","3",3066326,3126613
"ENSG00000177733",4719.1210471123,-0.56314406178401,0.0768131031265228,-7.33135414222787,2.27838705932432e-13,1.00496559080913e-10,"HNRNPA0",10949,"DOWN","Less Significant, Downregulated","17",40287879,40304657
"ENSG00000059378",15738.4572436664,1.48403004299896,0.202596038781982,7.32506939385895,2.38775125266063e-13,1.04036069213487e-10,"PARP12",64761,"UP","Less Significant, Upregulated","6",44246166,44253888
"ENSG00000112343",6318.57975922256,0.86498234911647,0.118434870344419,7.30344320554431,2.80495306215813e-13,1.20741401210585e-10,"TRIM38",10475,"UP","Less Significant, Upregulated","19",1228287,1238027
"ENSG00000080986",489.603862456755,0.956172322135081,0.130995541968614,7.29927375974503,2.89325111232102e-13,1.23059613977387e-10,"NDC80",10403,"UP","Less Significant, Upregulated","19",2476122,2478259
"ENSG00000188313",13588.615356328,1.74978286889377,0.240221977768536,7.28402490541379,3.24005158846761e-13,1.36188897826789e-10,"PLSCR1",5359,"UP","Less Significant, Upregulated","22",24219654,24245142
"ENSG00000183864",2091.51834408311,-0.500630074525873,0.0690069484513708,-7.25477775442667,4.0232187938901e-13,1.63342683031938e-10,"TOB2",10766,"DOWN","Less Significant, Downregulated","22",19175581,19178739
"ENSG00000119013",890.101691995784,0.974845734207724,0.134639273428555,7.24042628412592,4.47276646348057e-13,1.77558889119149e-10,"NDUFB3",4709,"UP","Less Significant, Upregulated","22",38705742,38738299
"ENSG00000151929",531.161956695064,-0.810863448496023,0.112779188421965,-7.18983227173231,6.48709643273995e-13,2.54693386097729e-10,"BAG3",9531,"DOWN","Less Significant, Downregulated","22",40824535,40856639
"ENSG00000173193",39622.3030040081,1.53692080592666,0.214039341333416,7.18055286636554,6.94300753051587e-13,2.69630188098121e-10,"PARP14",54625,"UP","Less Significant, Upregulated","14",24573518,24576250
"ENSG00000121858",24947.5861754674,1.0817272712426,0.15068756182368,7.17861021939109,7.04236048452601e-13,2.70547801495855e-10,"TNFSF10",8743,"UP","Less Significant, Upregulated","14",90847861,91060641
"ENSG00000122729",7079.07434211599,1.82076339948476,0.253919387706852,7.17063559395004,7.46503666488238e-13,2.83734925492466e-10,"ACO1",48,"UP","Less Significant, Upregulated","14",22985894,23010166
"ENSG00000177989",5585.61418127156,1.31332502270259,0.184342670787366,7.12436798866539,1.04559348621014e-12,3.93231200792797e-10,"ODF3B",440836,"UP","Less Significant, Upregulated","14",24171853,24180257
"ENSG00000146072",236.615238115114,-0.434617214581262,0.0610304346418435,-7.12131934061766,1.06898787778656e-12,3.97841655182897e-10,"TNFRSF21",27242,"DOWN","Less Significant, Downregulated","20",50888916,50931437
"ENSG00000181381",25926.1562461127,1.53587150245065,0.215945882624217,7.11229815445628,1.14126376522162e-12,4.20361564988021e-10,"DDX60L",91351,"UP","Less Significant, Upregulated","20",57351223,57379211
"ENSG00000269720",150.32205198366,1.91631892144119,0.26986745417845,7.10096342397044,1.23890165874802e-12,4.51668147589278e-10,"CCDC194",110806280,"UP","Less Significant, Upregulated","20",62938147,62948475
"ENSG00000115267",7493.01222961844,1.64504822622937,0.231849112647427,7.09533975543392,1.2903408859903e-12,4.56448506679817e-10,"IFIH1",64135,"UP","Less Significant, Upregulated","20",472498,543835
"ENSG00000138668",10438.1389468038,-0.395590393788953,0.0557448951959338,-7.09644160955941,1.280099936896e-12,4.56448506679817e-10,"HNRNPD",3184,"DOWN","Less Significant, Downregulated","18",2655738,2805017
"ENSG00000110925",1271.76533186485,-0.318312649524891,0.0448597425012514,-7.0957306434831,1.2866986924728e-12,4.56448506679817e-10,"CSRNP2",81566,"DOWN","Less Significant, Downregulated","18",3247481,3256236
"ENSG00000284194",1617.88960548722,1.55129425974605,0.219618833479895,7.06357571964822,1.62271710449455e-12,5.62878026304672e-10,"SCO2",9997,"UP","Less Significant, Upregulated","X",15235288,15270467
